Material_ID,Formula,Band_Gap,Energy_per_Atom,Formation_Energy_per_Atom
mp-600057,SiO2,5.7256,-8.355438479583333,-3.2483584662499982
mp-558326,SiO2,5.6066,-8.363176776481483,-3.256096763148149
mp-600000,SiO2,5.4117,-8.363986923333334,-3.25690691
mp-600037,SiO2,5.4615,-8.357017391666666,-3.249937378333333
mp-560336,SiO2,5.5922,-8.361481625416667,-3.254401612083333
mp-557881,SiO2,5.6379,-8.359693105277778,-3.252613091944445
mp-600059,SiO2,5.979699999999999,-8.366502545980392,-3.259422532647059
mp-667448,SiO2,0.9579000000000001,-8.136312936180556,-3.029232922847223
mp-554151,SiO2,5.725199999999999,-8.368011880833334,-3.2609318675
mp-554682,SiO2,5.8482,-8.363394654097222,-3.256314640763888
mp-572283,SiO2,4.9688,-8.214665839166665,-3.107585825833332
mp-1265115,SiO2,5.5062000000000015,-8.248411738333333,-3.141331724999999
mp-555235,SiO2,5.5109,-8.373002564166667,-3.265922550833333
mp-555147,SiO2,5.3545,-8.298502145,-3.191422131666667
mp-640556,SiO2,5.5502,-8.373165642638888,-3.266085629305555
mp-600054,SiO2,5.8369,-8.355968070677083,-3.248888057343749
mp-1179529,SiO2,5.447599999999999,-8.207228633055557,-3.100148619722223
mp-604717,SiO2,5.1726,-8.1932413625,-3.086161349166667
mp-6945,SiO2,5.503699999999999,-8.374540614166667,-3.267460600833333
mp-638033,SiO2,0.210399999999999,-7.6740641425,-2.566984129166666
mp-7029,SiO2,5.5081,-8.374605220833333,-3.2675252075
mp-1353259,SiO2,5.5258,-8.209693892222223,-3.102613878888889
mp-559872,SiO2,5.610600000000001,-8.370503315,-3.263423301666668
mp-560954,SiO2,4.5273,-8.205054911666666,-3.097974898333333
mp-545719,SiO2,4.8294,-8.224645609166666,-3.117565595833333
mp-1040512,Nb3SiO10,0.0,-8.900549769285714,-2.814203826428572
mp-1219307,SiH2O,0.0,-4.931318415,-0.640415436875
mp-1225287,Fe4SiO9,0.091099999999999,-7.708518207857144,-1.7201573567857151
mp-1227682,Ca2SiO5,0.0359,-6.96256590625,-2.690525554375
mp-35822,Li4SiO4,5.2439,-6.294877730555555,-2.6445606731481472
mp-685863,Li4SiO4,4.6647,-6.2655525479629635,-2.615235490555556
mp-1221972,MgSiO4,0.0,-6.83745304,-2.362847695833333
mp-560321,Mg2SiO4,4.4414,-7.140372138214285,-3.072071841071428
mp-22635,Fe7SiO10,0.0,-8.122588357777778,-1.778417438333332
mp-559848,Li4SiO4,5.1448,-6.322521469285714,-2.6722044118783073
mp-758271,Fe8SiO12,0.44460000000000005,-8.114620962380952,-1.802191449523809
mp-755053,Ga4SiO8,2.425699999999999,-6.825283346153845,-2.431330256923076
mp-1147680,Cu2SiO4,0.0,-6.567944927142856,-1.794291299999999
mp-1103987,Mg2SiO4,4.0779,-7.236208012142856,-3.1679077149999992
mp-556163,Zn2SiO4,2.6857,-6.3837483271428574,-2.421369859999999
mp-1207447,Zr2SiO2,0.0,-6.893422975999999,-0.410094716
mp-3382,CaSiO3,3.514599999999999,-7.659278372,-3.204318186999999
mp-13820,Cd3SiO5,0.9679000000000001,-5.699906795555555,-2.028223059444443
mp-7915,ZrSiO,0.0,-8.276657415,-1.969664193333334
mp-1020123,MgSiO3,4.6316,-7.5903141325,-3.210379920499999
mp-1020588,ZrSiO4,3.862299999999999,-9.0043224125,-3.376845299166666
mp-1020361,MgSiO3,4.7926,-7.600457427249999,-3.220523215249999
mp-1195746,MgSiO3,4.4998000000000005,-7.58934849275,-3.20941428075
mp-1196002,MgSiO3,4.5845,-7.594132940874999,-3.214198728874999
mp-21723,SiPbO3,3.1904999999999992,-7.392296107166683,-2.5959264841666823
mp-776110,SiSnO3,2.6768,-7.442037581833333,-2.5862830018333343
mp-5487,Sr3SiO5,3.7632,-7.255254200555555,-3.339431164444443
mp-4853,CaSiO3,3.724199999999999,-7.6592837915,-3.2043236065
mp-7983,Mg2SiO4,3.5361000000000002,-6.901715537142857,-2.83341524
mp-8682,Ca2SiO4,4.3558,-7.463298258571428,-3.287817999999999
mp-1019741,HeSiO2,6.4897,-6.2576064296875,-2.4250315421875
mp-1020124,MgSiO3,4.8602,-7.600779998,-3.220845786
mp-1020608,SiP2O7,4.940999999999999,-7.783873636999999,-2.69467442542857
mp-1020721,Zn2SiO4,2.4688,-6.298878420714286,-2.336499953571428
mp-1172857,MnSiO3,0.0,-8.666176844499999,-2.779933577086206
mp-1179266,Y2SiO5,3.940899999999999,-9.0668413165625,-3.6689280596875
mp-1178463,Cs4SiO4,2.4373,-5.406425639722221,-2.2009731584578542
mp-1181528,MgSiO3,3.050099999999999,-7.3105009675,-2.9305667555
mp-1182302,MgSiO3,3.273199999999999,-7.316306207249999,-2.93637199525
mp-1188134,MgSiO6,0.087799999999999,-6.024212903125,-1.43126864375
mp-1192103,FeSiO4,0.6887,-7.6923406679166675,-2.077810124583333
mp-1192494,Fe2SiO4,2.7611,-8.318257789642857,-2.295800008214286
mp-1199261,KSiO3,0.0,-6.74282323075,-2.462709077199999
mp-1199561,FeSiO3,0.7031000000000001,-8.32495068225,-2.5771062312499993
mp-1202186,Be3SiO6,0.4385,-7.28032294075,-2.64719067525
mp-1208518,Tb2SiO5,4.8469999999999995,-8.714312288125,-3.784206000416667
mp-1208880,Sm2SiO5,4.8314,-8.690396925000007,-3.740110009375007
mp-15379,K2SiO3,3.9353,-6.423378567916668,-2.6680551528333343
mp-16194,Rb2SiO3,3.716299999999999,-6.339126372222221,-2.634081507222222
mp-16993,Er2SiO5,4.650399999999999,-8.723809472500001,-3.811239388125001
mp-17065,Ho2SiO5,4.702,-8.718586537500007,-3.798526289375006
mp-17704,Tm2SiO5,4.6073,-8.718734172187501,-3.8274684203125022
mp-17766,MnSiO3,2.875499999999999,-8.6662115035,-2.779968236086207
mp-18157,SiP2O7,5.7952,-7.8710265115,-2.781827299928571
mp-18195,Lu2SiO5,4.567500000000001,-8.7408675565625,-3.839805311354167
mp-18510,Sr2SiO4,4.4605,-7.508027322499996,-3.422024718214281
mp-18700,K4SiO4,2.9391,-5.618083157499999,-2.313345275166666
mp-2379939,Ca2SiO4,4.7348,-7.643871498214286,-3.4683912396428562
mp-3470,MgSiO3,4.7797,-7.603293569250002,-3.223359357250002
